UNITID,EFDEEXC,XEFDESOM,EFDESOM,EFDENON
112686,733,R,659,6100
112686,663,R,646,4905
112686,70,R,13,1195
112826,462,R,904,4974
112826,462,R,904,4974
112826,385,R,874,3835
112826,77,R,30,1139
113096,1583,R,1651,10776
113096,1583,R,1651,10776
113096,1433,R,1625,9943
113096,150,R,26,833
113111,429,R,908,4600
113111,429,R,908,4600
113111,366,R,853,3839
113111,63,R,55,761
113193,1009,R,1487,7736
113193,1009,R,1487,7736
113193,857,R,1449,5449
113193,152,R,38,2287
113218,1570,R,1411,6757
113218,1570,R,1411,6757
113218,1384,R,1359,5306
113218,186,R,52,1451
113236,1396,R,2966,11579
113236,1396,R,2966,11579
113236,1216,R,2924,10742
113236,180,R,42,837
113333,1425,R,3462,16829
113333,1425,R,3462,16829
113333,1251,R,3389,14635
113333,174,R,73,2194
113449,0,A,0,172
113449,0,A,0,172
113537,0,A,0,47
113537,0,A,0,19
113537,0,A,0,19
113537,0,A,0,28
113573,642,R,2086,8064
113573,642,R,2086,8064
113573,501,R,1999,7103
113573,141,R,87,961
113582,0,A,0,143
113582,0,A,0,143
113582,0,A,0,143
113634,1716,R,3554,14149
113634,1716,R,3554,14149
113634,1458,R,3460,12803
113634,258,R,94,1346
113698,0,A,0,1835
113698,0,A,0,1388
113698,0,A,0,1374
113698,0,A,0,14
113698,0,A,0,447
113704,0,R,2,56
113704,0,R,2,56
113856,1083,R,2163,33724
113856,1083,R,2163,33724
113856,948,R,2113,28609
113856,135,R,50,5115
113980,1230,R,2462,20341
113980,1230,R,2462,20341
113980,1087,R,2427,18129
113980,143,R,35,2212
114044,0,A,0,453
114044,0,A,0,453
114114,0,A,0,232
114114,0,A,0,232
114123,0,A,0,457
114123,0,A,0,361
114123,0,A,0,361
114123,0,A,0,96
114266,474,R,908,7710
114266,474,R,908,7710
114266,364,R,868,6232
114266,110,R,40,1478
114354,111,R,435,2078
114354,111,R,435,2078
114354,111,R,435,2078
114390,8,R,66,258
114390,8,R,66,258
114390,8,R,66,258
114415,0,R,2,101
114415,0,R,2,101
114415,0,R,2,101
114433,503,R,187,1283
114433,503,R,187,1283
114433,498,R,185,730
114433,5,R,2,553
114460,0,A,0,270
114460,0,A,0,270
114549,106,R,902,38
114549,106,R,902,38
114585,0,A,0,336
114585,0,A,0,336
114628,0,A,0,14
114628,0,A,0,14
114637,0,A,0,16
114637,0,A,0,16
114716,4162,R,2996,8211
114716,4162,R,2996,8211
114716,3806,R,2878,7282
